Tabla:,,CONCENTRADOHOGAR,,,,
,,,,,,
Insumos:,,,,,,
"VIVIENDAS
HOGARES
POBLACION
INGRESOS",,,,,"GASTOSHOGAR
GASTOSPERSONA
EROGACIONES
",
,,,,,,
Construcción general:,,,,,,
"Esta tabla es un resumen a nivel hogar con las principales variables de interés de la encuesta.

Se construyen las variables (para explotación) de acuerdo a la lista de variables.",,,,,,
,,,,,,
Lista de variables:,,,,,,
#,Variable,Tipo,Categorías / valores nulos,,Construcción / Observaciones,
pescado,,"011310, 011321, 011322, 011323, 011324, 011331, 011332, 011341, 011342, 011343, 011351, 011352, 011360, 011370, 181127, 181128, 181157",,,,
leche,,"011411, 011412, 011420, 011432, 011433, 011441, 011442, 011451, 011452, 011454, 011455, 011456, 011460, 011471, 011473, 011490, 011520, 011921, 181129, 181130, 181131, 181132",,,,
huevo,,"011481, 011482",,,,
aceites,,"011511, 011512, 011530, 011591, 011593, 181133, 181159, 181160",,,,
tuberculo,,"011747, 011751, 011752, 011755, 011791, 011795, 011796, 181163",,,,
verduras,,"011611, 011680, 011711, 011712, 011713, 011721, 011722, 011723, 011724, 011725, 011726, 011727, 011728, 011729, 01172A, 011731, 011732, 011733, 011741, 011742, 011743, 011745, 011746, 011748, 011749, 011761, 011762, 011763, 011764, 011770, 011781, 011782, 011792, 011793, 011794, 011797, 011798, 011799, 01179A, 011942, 011943, 011944, 011946, 181140, 181141, 181142, 181161, 181164, 181165, 181166, 181167",,,,
frutas,,"011612, 011613, 011614, 011615, 011616, 011617, 011621, 011622, 011623, 011624, 011631, 011632, 011633, 011634, 011635, 011641, 011642, 011651, 011652, 011653, 011654, 011660, 011670, 011691, 011692, 011753, 011754, 011843, 181134, 181135, 181136, 181137, 181138, 181139",,,,
azucar,,"011810, 011820, 011831, 011832",,,,
cafe,,"011851, 011852, 011853, 012201, 012202, 012203, 012301, 012302, 181155",,,,
especias,,"011931, 011932, 011933, 011934, 011935, 011936, 011937, 011938, 011945, 011993, 181143, 181144, 181145, 181168",,,,
otros_alim,,"01122I, 011472, 011744, 011833, 011834, 011841, 011842, 011861, 011891, 011892, 011893, 011911, 011922, 011923, 011924, 011925, 011991, 011992, 011994, 011996, 013000, 093221, 111121, 111122, 111123, 111124, 111125, 111126, 181111, 181112, 181152, 181169",,,,
bebidas,,"011862, 012100, 012400, 012501, 012502, 012601, 012602, 012603, 012604, 012901, 012902, 012903, 012904, 012905, 012907, 021101, 021102, 021103, 021104, 021105, 021211, 021212, 021213, 021220, 021301, 021302, 021303, 021901, 021902, 181146, 181147, 181148, 181149, 181150, 181151, 181154, 181162, 181170",,,,
ali_fuera,,"111111, 111112, 111113, 111114, 111115, 111116",,,,
tabaco,,"023010, 023020, 023090",,,,
vestido,,"031100, 031211, 031212, 031213, 031214, 031215, 031216, 031217, 031218, 031219, 03121A, 03121B, 03121C, 03121D, 03121E, 03121F, 03121G, 03121H, 03121I, 03121J, 031221, 031222, 031223, 031224, 031225, 031226, 031227, 031228, 031229, 03122A, 03122B, 03122C, 03122D, 03122E, 03122F, 03122G, 03122H, 03122I, 03122J, 03122K, 03122L, 03122M, 03122N, 03122O, 031231, 031232, 031235, 031236, 031237, 031238, 031239, 03123A, 03123B, 03123C, 031420, 172111, 172112, 172113, 172114, 172115, 172116, 172117, 172118, 172119, 17211A, 17211B",,,,
calzado,,"032111, 032112, 032113, 032114, 032115, 032116, 032117, 032118, 032119, 032121, 032122, 032123, 032124, 032125, 032126, 032127, 032128, 032129, 032131, 032132, 032133, 032134, 032135, 032136, 032137, 032138, 032139, 03213A, 03213B, 03213C, 03213D, 032201, 032202, 056111, 172121, 172122, 172123, 172124",,,,
alquiler,,"041103, 041104, 041105, 041211, 041212, 041222, 046261",,,,
pred_cons,,"043203, 043204, 044200, 044310, 044320, 044411, 044412, 044492, 171611",,,,
agua,,044110,,,,
energia,,"045100, 045210, 045221, 045222, 045300, 045410, 045420, 045430, 045490, 045502, 05619A",,,,
