folioviv,tot_resid,mat_pared,mat_techos,ab_agua,agua_noe,dotac_agua,sanit_agua,drenaje
100076804,6,8,10,1,,1,2,1
100076805,2,8,10,1,,2,1,1
100076806,2,8,10,1,,2,1,1
100077901,2,8,10,1,,1,1,1
100077902,5,8,10,1,,1,1,1
100077903,1,8,10,1,,2,2,1
100077904,5,8,10,5,,1,2,1
100077906,1,8,10,1,,1,1,1
100078501,4,8,10,1,,1,1,1
100078502,4,8,10,1,,1,1,1
100078503,4,8,10,1,,1,1,1
100078504,5,8,10,1,,1,1,1
100078506,1,8,1,1,,1,1,1
100079701,1,8,10,1,,1,1,1
100079702,3,8,10,1,,1,1,1
100079703,1,8,10,1,,1,1,1
100079705,2,8,10,1,,1,1,1
100079706,4,8,10,1,,1,1,1
100080901,2,8,10,1,,1,1,1
100080902,1,8,10,1,,1,1,1
100080904,4,8,10,1,,1,1,1
100080905,3,8,10,1,,3,1,1
100080906,2,8,10,1,,2,1,1
100081001,5,8,10,1,,1,1,1
100081002,3,8,10,1,,3,1,1
100081003,6,8,10,1,,1,1,1
100081004,1,8,10,1,,1,1,1
100081005,3,8,10,1,,2,1,1
100081006,4,8,10,1,,1,1,1
100082202,2,8,10,1,,1,1,1
100082203,7,8,10,1,,1,1,1
100082204,4,8,10,1,,1,1,1
100082205,2,8,10,1,,1,1,1
100082206,2,8,10,1,,1,1,1
100083401,3,8,10,1,,2,1,1
100083402,6,8,10,1,,1,1,1
100083404,3,8,10,1,,1,1,1
100083405,4,8,10,1,,1,1,1
100083406,5,8,10,1,,1,1,1
100084201,7,8,10,1,,1,1,1
100084202,2,8,10,1,,1,1,1
100084203,2,8,10,1,,1,1,1
100084204,1,8,10,1,,1,1,1
100084205,2,8,10,1,,1,1,1
100084206,4,8,10,1,,1,1,1
100085301,4,8,10,1,,1,1,1
100085302,4,8,10,1,,1,1,1
100085303,6,8,10,1,,1,1,1
100085304,3,8,10,1,,1,1,1
100085305,4,8,10,1,,2,1,1
100085306,1,8,10,1,,1,1,1
100086501,3,8,10,1,,1,1,1
100086502,6,8,10,1,,1,1,1
100086503,3,8,10,1,,1,1,1
100086504,5,8,10,1,,1,1,1
100086505,4,8,10,1,,1,1,1
100086506,6,8,10,1,,1,1,1
100087601,6,8,10,1,,1,1,1
100087602,4,8,10,1,,1,1,1
100087604,2,1,10,1,,1,1,1
100087605,1,8,10,1,,1,1,1
100087606,5,8,10,1,,1,1,1
100088701,2,8,10,1,,1,1,1
100088702,7,8,10,1,,1,1,1
100088703,4,8,10,1,,1,1,1
100088704,3,8,10,1,,1,1,1
100088705,5,8,10,1,,1,1,1
100088706,1,8,10,1,,1,1,1
100089401,3,8,10,1,,1,1,1
100089402,4,8,10,1,,1,1,1
100089403,3,8,10,1,,1,1,1
100089404,3,8,10,1,,1,1,1
100089405,3,8,10,1,,2,1,1
100090601,3,8,10,1,,1,1,1
100090602,4,8,10,1,,1,1,1
100090603,5,8,10,1,,1,1,1
100090604,3,8,10,1,,1,1,1
100090605,3,8,10,1,,1,1,1
100091901,1,8,10,1,,1,1,1
100091903,4,8,10,1,,1,1,1
100091904,1,8,10,1,,1,1,1
100091905,2,8,10,1,,2,1,1
100091906,4,8,10,1,,1,1,1
100092801,2,8,10,1,,1,1,1
100092802,3,8,10,1,,1,1,1
100092803,3,8,10,1,,1,1,1
100092805,2,8,10,1,,1,1,1
100092806,5,8,10,1,,4,1,1
100093801,1,8,10,1,,1,1,1
100093802,6,8,10,1,,1,1,1
100093803,5,8,10,1,,1,1,1
100093804,4,8,10,1,,1,2,1
100093805,6,8,10,1,,1,1,1
100093806,4,8,10,1,,1,1,1
100094001,4,8,10,1,,1,1,3
100094002,1,8,10,,3,,,5
100094003,2,8,10,,5,,2,2
100094004,5,8,8,,5,,1,3
100094006,4,8,10,,5,,1,3
100095301,4,8,10,1,,1,1,1
100095304,2,8,10,1,,1,1,1
100095305,6,8,10,1,,1,1,1
100096002,3,8,10,1,,1,1,1
100096003,10,8,10,1,,1,1,1
100096004,5,8,10,1,,1,1,1
100096005,4,8,10,1,,1,1,1
100096006,6,8,10,1,,1,1,1
100097301,5,8,10,1,,2,1,1
100097302,3,8,10,1,,1,1,1
100097303,5,8,10,1,,1,2,1
100097304,3,8,10,1,,1,1,1
100097305,8,8,10,1,,1,2,1
100097306,7,8,10,1,,1,1,1
100098801,1,8,10,1,,1,1,1
100098803,1,8,10,1,,1,1,1
100098804,2,8,10,1,,1,1,1
100098805,5,8,10,1,,1,1,1
100098806,2,8,10,1,,1,1,1
100099001,3,8,10,1,,1,1,1
100099002,2,8,10,1,,1,1,1
100099003,1,8,10,1,,1,1,1
100099004,3,8,10,1,,1,1,1
100099005,4,8,10,1,,1,1,1
100099006,1,8,10,1,,1,1,1
100100201,2,8,10,1,,1,1,1
100100202,4,8,10,1,,1,1,1
100100204,1,8,10,1,,1,1,1
100100205,4,8,10,1,,1,1,1
100100206,4,8,10,1,,2,2,1
100101401,1,8,10,1,,1,1,1
100101402,2,8,10,1,,1,1,1
100101403,2,8,10,1,,1,1,1
100101404,2,8,10,1,,1,1,1
100101405,1,8,10,1,,1,1,1
100101406,1,8,10,1,,1,1,1
100102601,3,8,10,1,,1,1,1
100102602,2,8,10,1,,1,1,1
100102603,3,8,10,1,,1,1,1
100102604,3,8,10,1,,1,1,1
100102605,4,8,10,1,,1,1,1
100102606,4,8,10,1,,1,1,1
100103801,1,8,10,1,,1,1,1
100103802,1,8,10,1,,1,1,1
100103803,2,8,10,1,,1,1,1
100103804,4,1,10,1,,1,1,1
100103805,1,8,10,1,,1,1,1
100103806,2,8,10,1,,3,1,1
100104001,3,8,10,1,,1,1,1
100104002,3,8,10,1,,1,1,1
100104003,2,8,10,1,,1,1,1
100104004,3,8,10,1,,1,1,1
100104005,3,8,10,1,,1,1,1
100105302,3,8,10,1,,1,1,1
100105303,2,8,10,1,,1,1,1
100105304,3,8,10,1,,2,1,1
100105305,2,8,10,1,,2,1,1
100105306,2,8,10,1,,1,1,1
100106501,1,8,10,1,,1,1,1
100106502,3,8,10,1,,1,1,1
100106503,1,8,10,1,,1,1,1
100106504,2,8,10,1,,1,1,1
100106505,3,8,10,1,,1,1,1
100106506,6,7,10,1,,1,1,1
100107701,2,8,10,1,,1,1,1
100107702,5,8,10,1,,1,1,1
100107703,5,8,10,1,,1,1,1
100107704,9,8,10,1,,1,1,1
100107705,6,8,10,1,,1,1,1
100107706,3,8,10,1,,1,1,1
100108902,5,8,10,1,,1,1,1
100108903,3,8,10,1,,1,1,1
100108904,3,8,10,1,,1,1,1
100108905,3,8,10,1,,1,1,1
100108906,4,8,10,1,,1,1,1
100109019,4,8,10,1,,1,1,1
100109020,7,8,10,1,,1,1,1
100109021,3,7,10,1,,1,2,1
100109022,8,8,10,1,,1,1,1
100109023,4,8,10,1,,2,1,1
100109024,5,8,10,1,,2,1,1
100109301,6,8,10,5,,3,1,2
100109302,4,8,10,1,,1,1,1
100109303,5,8,10,1,,1,1,1
100109304,6,8,10,1,,2,1,1
100109305,3,7,10,1,,1,1,1
100109306,5,7,10,1,,2,2,1
100109507,6,8,10,1,,1,1,2
100109508,1,8,10,1,,2,1,1
100109509,3,8,10,1,,1,1,1
100109510,6,8,10,1,,1,1,1
100109511,3,8,10,1,,3,2,1
100109512,5,8,10,1,,1,3,5
100109713,5,8,10,2,,2,1,3
100109714,3,8,10,1,,2,1,1
100109715,4,8,10,1,,1,1,3
100109716,1,8,10,1,,1,1,1
100109717,1,8,10,1,,1,1,1
100109718,2,8,3,1,,1,1,1
100110901,2,8,10,1,,1,1,1
100110903,1,8,10,1,,1,1,1
100110906,3,8,10,1,,1,1,1
100111201,8,8,10,1,,1,1,1
100111203,4,8,10,1,,1,1,1
100111204,3,8,10,1,,1,1,1
100111205,5,8,10,1,,1,1,1
100111206,4,8,10,1,,1,1,1
100112401,4,8,10,2,,3,1,1
100112402,2,8,10,2,,1,1,1
100112403,1,8,10,2,,1,1,1
100112404,4,8,10,2,,1,1,1
100112405,3,8,10,1,,1,1,1
100112406,5,8,10,2,,1,1,1
100113201,2,8,10,1,,1,1,1
100113202,2,8,10,1,,2,1,1
100113203,4,8,10,1,,2,1,1
100113204,1,8,10,1,,2,1,1
100113206,2,8,10,1,,2,1,1
100114401,3,7,10,1,,1,1,1
100114402,5,7,8,1,,1,1,1
100114403,2,7,8,1,,1,1,1
100114404,5,8,10,1,,1,1,1
100114406,1,8,10,1,,1,1,1
100115001,1,8,10,1,,1,1,1
100115004,4,8,10,1,,1,1,1
100115005,2,8,10,1,,1,1,1
100115006,3,8,10,1,,1,1,1
100116301,2,8,10,1,,1,1,1
100116302,2,8,10,1,,1,1,1
100116303,3,8,10,1,,1,2,1
100116304,2,8,10,1,,1,1,1
100116305,4,8,10,1,,1,1,1
100116306,4,8,10,1,,1,1,1
100117301,3,8,10,1,,1,1,1
100117302,5,8,10,1,,1,1,1
100117303,5,8,10,1,,2,1,1
100117304,2,8,10,1,,2,1,1
100117305,3,8,10,1,,1,1,1
100117306,3,8,10,1,,3,1,1
100118502,3,8,10,1,,1,1,1
100118503,5,8,10,1,,1,1,1
100118505,1,8,10,1,,1,1,1
100118506,1,8,10,1,,1,1,1
100119702,6,8,10,1,,1,1,1
100119703,3,8,10,1,,1,1,1
100119705,3,8,10,1,,1,1,1
100119706,3,8,10,1,,1,1,1
100120601,3,8,10,1,,1,1,1
100120602,3,8,10,1,,1,1,1
100120603,2,8,10,1,,2,1,1
100120605,4,8,10,1,,2,1,1
