folioviv,camb_clim,climate_vulnerability_intensity
100129006,0,0
100130701,0,0
100130702,0,0
100130703,0,0
100130704,0,0
100130705,0,0
100130706,0,0
100131501,0,0
100131502,0,0
100131503,0,0
100131504,0,0
100131505,0,0
100131506,0,0
100132701,0,0
100132702,0,0
100132703,0,0
100132704,0,0
100132705,0,0
100132706,0,0
100133901,0,0
100133902,0,0
100133903,0,0
100133904,0,0
100133905,0,0
100133906,0,0
100134901,0,0
100134902,0,0
100134903,0,0
100134904,0,0
100134905,0,0
100134906,0,0
100135301,0,0
100135302,0,0
100135303,0,0
100135304,0,0
100135305,1,8
100135306,0,0
100136501,0,0
100136502,0,0
100136504,0,0
100136505,0,0
100136506,0,0
100137701,0,0
100137702,0,0
100137703,0,0
100137704,0,0
100137705,0,0
100137706,0,0
100138201,1,8
100138202,1,8
100138204,1,8
100138205,0,0
100138206,0,0
100139201,0,0
100139202,0,0
100139203,0,0
100139204,0,0
100139205,0,0
100139206,0,0
100140401,0,0
100140402,0,0
100140403,0,0
100140404,0,0
100140405,0,0
100140406,1,8
100141601,0,0
100141602,0,0
100141603,0,0
100141604,0,0
100141605,1,8
100142801,0,0
100142802,0,0
100142803,0,0
100142804,0,0
100142805,0,0
100142806,0,0
100143001,0,0
100143002,0,0
100143005,0,0
100143006,0,0
100144301,0,0
100144302,0,0
100144303,0,0
100144304,0,0
100144305,0,0
100144306,0,0
100145501,1,8
100145502,0,0
100145503,0,0
100145504,0,0
100145505,1,8
100145506,0,0
100146901,0,0
100146904,0,0
100146905,0,0
100146906,0,0
100147201,0,0
100147203,0,0
100147204,0,0
100147205,0,0
100147206,0,0
100148701,1,8
100148702,0,0
100148704,0,0
100148705,0,0
100148706,0,0
100149901,0,0
100149902,0,0
100149905,0,0
100149906,0,0
100150201,0,0
100150202,0,0
100150203,0,0
100150204,0,0
100150206,1,8
100151401,0,0
100151402,0,0
100151403,0,0
100151404,1,8
100151405,0,0
100151406,0,0
100152901,0,0
100152903,1,8
100152904,0,0
100152905,0,0
100152906,1,8
100153601,0,0
100153602,0,0
100153603,0,0
100153604,0,0
100153605,0,0
100153606,0,0
100154401,0,0
100154402,0,0
100154404,0,0
100154405,0,0
100154406,0,0
100155801,0,0
100155802,0,0
100155803,0,0
100155804,0,0
100155805,0,0
100155806,0,0
100156402,1,8
100156403,0,0
100156404,0,0
100156406,0,0
100157001,0,0
100157002,0,0
100157003,0,0
100157004,0,0
100157005,0,0
100157006,0,0
100158601,0,0
100158602,0,0
100158603,0,0
100158604,1,8
100158605,0,0
100158606,0,0
100159301,0,0
100159302,1,8
100159303,0,0
100159304,0,0
100159305,0,0
100159306,0,0
100160501,0,0
100160502,0,0
100160503,0,0
100160504,0,0
100160505,0,0
100161801,0,0
100161802,0,0
100161803,0,0
100161804,0,0
100161805,0,0
100161806,0,0
