folioviv,foliohog,ing_cor,gasto_mon,ubica_geo,tam_loc
100051405,1,128538.19,50042.45,1001,1
100051406,1,150659.13,89258.46,1001,1
100052601,1,22204.91,9684.68,1001,1
100052602,1,63623.89,22530.61,1001,1
100052603,1,120245.89,101480.63,1001,1
100052605,1,105147.52,31020.52,1001,1
100052606,1,101252.43,37126.96,1001,1
100053601,1,133770.48,40571.27,1001,1
100053602,1,53114.75,58883.61,1001,1
100053603,1,210575.37,56923.54,1001,1
100053604,1,41016.39,17690.64,1001,1
100053605,1,317898.11,90767.19,1001,1
100053606,1,204491.79,45526.95,1001,1
100054801,1,189295.06,63565.0,1001,1
100054802,1,116404.98,34077.02,1001,1
100054803,1,92729.46,16319.66,1001,1
100054804,1,83016.39,20940.61,1001,1
100054805,1,100770.48,26894.24,1001,1
100054806,1,145180.31,46716.81,1001,1
100055001,1,83714.64,185708.08,1001,1
100055002,1,126475.88,92987.06,1001,1
100055003,1,87954.13,44726.47,1001,1
100055004,1,182765.92,180509.55,1001,1
100055006,1,202140.96,128943.05,1001,1
100056701,1,34724.8,32226.34,1001,1
100056702,1,73475.39,54458.58,1001,1
100056703,1,71541.76,40094.48,1001,1
100056704,1,131450.08,60829.91,1001,1
100056705,1,201368.09,79440.6,1001,1
100056706,1,105760.86,33810.34,1001,1
100057801,1,183196.71,176021.92,1001,1
